timestamp,esp_current,esp_voltage,esp_rpm,env_temp_c,env_humidity,plc_motor_temp,plc_motor_voltage,power_consumption,overall_health_score,electrical_health,thermal_health,mechanical_health,predictive_health,efficiency_score
2025-07-21T10:10:24.306736,57.0,256.0,2853.0,26.0,50.0,,,14.592,63.0,10.0,100.0,80.0,50.0,50.5
2025-07-21T10:10:44.111578,54.0,245.0,2874.0,25.0,50.0,,,13.23,63.0,10.0,100.0,80.0,50.0,50.6
2025-07-21T10:10:47.227656,57.0,255.0,2793.0,24.0,51.0,,,14.535,63.0,10.0,100.0,80.0,50.0,50.5
2025-07-21T10:10:50.294016,48.0,256.0,2817.0,24.0,50.0,,,12.288,63.0,10.0,100.0,80.0,50.0,50.6
2025-07-21T10:10:53.364988,56.0,258.0,2841.0,25.0,45.0,,,14.448,63.0,10.0,100.0,80.0,50.0,50.5
2025-07-21T10:10:56.435957,49.0,245.0,2852.0,25.0,51.0,,,12.005,65.5,10.0,100.0,80.0,75.0,50.6
2025-07-21T10:10:59.536377,53.0,247.0,2801.0,26.0,44.0,,,13.091,65.5,10.0,100.0,80.0,75.0,50.6
2025-07-21T10:11:02.597373,60.0,254.0,2775.0,26.0,49.0,,,15.24,65.5,10.0,100.0,80.0,75.0,50.5
2025-07-21T10:11:05.682390,57.0,248.0,2802.0,25.0,49.0,,,14.136,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:11:08.769456,49.0,246.0,2850.0,26.0,44.0,,,12.054,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:11:11.845800,50.0,249.0,2804.0,25.0,47.0,,,12.45,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:11:14.915992,50.0,255.0,2871.0,24.0,45.0,,,12.75,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:11:18.009426,50.0,255.0,2793.0,26.0,47.0,,,12.75,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:11:21.094156,60.0,256.0,2793.0,24.0,47.0,,,15.36,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:11:24.181179,60.0,248.0,2855.0,24.0,45.0,,,14.88,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:11:27.258125,53.0,254.0,2859.0,26.0,46.0,,,13.462,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:11:30.368701,58.0,252.0,2794.0,25.0,51.0,,,14.616,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:11:33.431672,55.0,254.0,2826.0,25.0,51.0,,,13.97,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:11:36.521890,51.0,247.0,2864.0,26.0,48.0,,,12.597,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:11:39.580596,59.0,257.0,2790.0,25.0,48.0,,,15.163,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:11:42.662126,55.0,255.0,2829.0,24.0,47.0,,,14.025,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:11:45.740631,58.0,254.0,2843.0,26.0,45.0,,,14.732,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:11:48.835619,50.0,254.0,2793.0,24.0,49.0,,,12.7,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:11:51.921888,53.0,246.0,2790.0,24.0,46.0,,,13.038,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:11:54.997271,49.0,248.0,2816.0,25.0,47.0,,,12.152,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:11:58.065079,52.0,245.0,2868.0,24.0,44.0,,,12.74,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:12:01.139555,52.0,253.0,2782.0,25.0,46.0,,,13.156,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:12:04.212695,50.0,246.0,2853.0,25.0,48.0,,,12.3,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:12:07.292277,59.0,257.0,2842.0,26.0,51.0,,,15.163,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:12:10.360028,49.0,253.0,2866.0,24.0,50.0,,,12.397,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:12:13.445890,59.0,256.0,2849.0,26.0,45.0,,,15.104,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:12:16.517031,58.0,255.0,2836.0,26.0,48.0,,,14.79,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:12:19.589035,56.0,245.0,2824.0,25.0,49.0,,,13.72,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:12:22.667462,49.0,250.0,2798.0,25.0,48.0,,,12.25,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:12:25.763789,57.0,249.0,2869.0,26.0,49.0,,,14.193,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:12:28.844121,50.0,247.0,2858.0,24.0,51.0,,,12.35,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:12:31.938559,51.0,258.0,2822.0,25.0,46.0,,,13.158,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:12:35.021880,53.0,245.0,2811.0,25.0,48.0,,,12.985,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:12:38.086114,57.0,245.0,2851.0,24.0,51.0,,,13.965,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:12:41.162870,56.0,258.0,2821.0,25.0,51.0,,,14.448,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:12:44.236634,49.0,246.0,2838.0,25.0,48.0,,,12.054,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:12:47.328456,48.0,245.0,2834.0,25.0,44.0,,,11.76,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:12:50.418673,50.0,247.0,2775.0,24.0,51.0,,,12.35,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:12:53.501990,56.0,252.0,2787.0,26.0,46.0,,,14.112,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:12:56.568399,47.0,256.0,2770.0,25.0,50.0,,,12.032,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:12:59.624695,52.0,245.0,2786.0,24.0,46.0,,,12.74,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:13:02.701541,48.0,253.0,2758.0,24.0,51.0,,,12.144,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:13:05.764002,51.0,258.0,2800.0,25.0,48.0,,,13.158,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:13:08.855026,50.0,259.0,2787.0,25.0,48.0,,,12.95,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:13:11.941427,49.0,253.0,2797.0,26.0,48.0,,,12.397,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:13:15.013775,53.0,245.0,2771.0,24.0,49.0,,,12.985,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:13:18.088749,59.0,250.0,2827.0,26.0,51.0,,,14.75,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:13:21.175333,53.0,247.0,2808.0,25.0,48.0,,,13.091,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:13:24.269744,47.0,245.0,2839.0,24.0,46.0,,,11.515,68.0,10.0,100.0,80.0,100.0,50.7
